Combination_ID,n_estimators,min_samples_split,min_samples_leaf,max_depth,f1,accuracy,precision,recall
1,400,6,5,11,0.7218312611306829,0.7352321095244253,0.7593242512511255,0.6878820667522842
2,300,4,1,15,0.7205851359604503,0.7327499459382883,0.7539573579321107,0.6900631180463238
3,400,6,5,15,0.722359545297604,0.7342499660288895,0.7552163145596231,0.6922443457701034
4,400,4,3,5,0.7083085865327172,0.7280713843921137,0.7628640419075344,0.6610648690041016
5,300,4,3,3,0.70501263785183,0.723696344847801,0.7551742403076035,0.6611361696316412
6,400,2,1,5,0.7087198153379027,0.7280713863054132,0.7620476342989123,0.6623878082324403
7,100,8,1,11,0.7201887802889727,0.7341070932606621,0.7589570868292803,0.6852002426537935
8,100,8,1,3,0.7038310579910588,0.7229642074112066,0.7550766551101907,0.6591695533448704
9,300,4,1,8,0.7165742681548002,0.733535700722676,0.764267483405149,0.674509006964518
10,400,4,5,3,0.7054609110556166,0.7245534848355413,0.7570141358045094,0.6604925692817919
11,300,2,5,8,0.7165050137467065,0.7337678231714392,0.7651542156678016,0.6736866219211697
12,400,4,3,15,0.7213958454996882,0.7333214035284567,0.7541860347526489,0.6913503954546053
13,100,4,1,11,0.7210531572447211,0.734535686692451,0.7586482193984317,0.6870239201677212
14,400,2,3,5,0.7085757262718385,0.728160676165238,0.7626558689173635,0.6617084693539509
15,400,6,5,3,0.705591772515095,0.7233034966334243,0.7527875833371342,0.6639965099435917
16,300,8,1,15,0.7210073082356172,0.7331428018058631,0.7543671926277429,0.6904922258574674
17,400,2,5,8,0.7167512368971861,0.7339285422405046,0.7651910023012176,0.6740799950391025
18,100,6,1,3,0.7029656090540302,0.7230534704848387,0.7567815404775345,0.6563802144969878
19,100,2,5,11,0.7198624314724139,0.734392837840467,0.7605221136748835,0.6833409570158165
20,300,2,5,11,0.721756811566288,0.735249972088309,0.7595194739913387,0.687595932232846
